Time_UTCG_,Azimuth_deg_,Elevation_deg_,Range_km_,x_km_,y_km_,z_km_,vx_km_sec_,vy_km_sec_,vz_km_sec_,eci_x_m,eci_y_m,eci_z_m,obs_vector_x,obs_vector_y,obs_vector_z
1 Jan 2025 11:41:06.000,170.237,5.016,4070.777235,7452.359299,-2515.498181,-130.280047,1.552833,4.309001,5.45181,-1543217.691,-5900142.481,1852683.337,0.168923704428594,-0.981743393191095,0.0874339293853122
1 Jan 2025 11:41:07.000,170.17,5.057,4066.901193,7453.909074,-2511.188152,-124.828187,1.546724,4.311061,5.451915,-1542906.76,-5900289.803,1852473.118,0.170060885311286,-0.981483288442675,0.0881467514710199
1 Jan 2025 11:41:08.000,170.102,5.097,4063.029271,7455.452738,-2506.876065,-119.376225,1.540613,4.313117,5.452015,-1542595.816,-5900437.1,1852262.903,0.17121499329403,-0.981219903738719,0.0888421441563815
1 Jan 2025 11:41:09.000,170.035,5.137,4059.161481,7456.990292,-2502.561923,-113.924165,1.534501,4.31517,5.452111,-1542284.856,-5900584.373,1852052.692,0.172351510717824,-0.980957692259789,0.0895374935411613
1 Jan 2025 11:41:10.000,169.967,5.177,4055.297841,7458.521733,-2498.24573,-108.472011,1.528388,4.31722,5.452202,-1541973.906,-5900731.608,1851842.502,0.173504680782084,-0.98069065850534,0.0902327992864544
1 Jan 2025 11:41:11.000,169.899,5.217,4051.438366,7460.047061,-2493.927488,-103.019769,1.522274,4.319266,5.452289,-1541662.942,-5900878.818,1851632.317,0.17465737465238,-0.980421791471717,0.0909280610533773
1 Jan 2025 11:41:12.000,169.831,5.257,4047.583069,7461.566274,-2489.607203,-97.567441,1.516159,4.321308,5.452372,-1541351.938,-5901026.015,1851422.119,0.175809589040023,-0.98015109204547,0.0916232785030679
1 Jan 2025 11:41:13.000,169.763,5.297,4043.731967,7463.07937,-2485.284877,-92.115034,1.510042,4.323347,5.45245,-1541040.919,-5901173.187,1851211.925,0.176961320657992,-0.979878561119265,0.0923184512966856
1 Jan 2025 11:41:14.000,169.695,5.337,4039.885075,7464.586349,-2480.960513,-86.662551,1.503924,4.325383,5.452523,-1540729.911,-5901320.322,1851001.753,0.17811256622095,-0.979604199591881,0.0930135790954116
1 Jan 2025 11:41:15.000,169.627,5.377,4036.042408,7466.08721,-2476.634116,-81.209997,1.497805,4.327415,5.452592,-1540418.887,-5901467.432,1850791.585,0.179263322445253,-0.979328008368207,0.0937086615604491
