Time_UTCG_,Azimuth_deg_,Elevation_deg_,Range_km_,x_km_,y_km_,z_km_,vx_km_sec_,vy_km_sec_,vz_km_sec_,eci_x_m,eci_y_m,eci_z_m,obs_vector_x,obs_vector_y,obs_vector_z
1 Jan 2025 00:54:04.000,272.299,5.001,4089.529803,-5301.338769,4637.913013,3503.455175,-5.025979,-2.396742,-4.435059,2582352.995,3910508.632,4320302.413,-0.995391336309057,0.0399616450430233,0.0871731296118553
1 Jan 2025 00:54:05.000,272.215,5.027,4086.966602,-5306.362578,4635.514376,3499.018681,-5.021637,-2.400538,-4.437932,2581994.96,3910543.927,4320484.453,-0.995409222536702,0.0385007498473304,0.0876251787448763
1 Jan 2025 00:54:06.000,272.131,5.053,4084.409863,-5311.382042,4633.111944,3494.579315,-5.01729,-2.404332,-4.440801,2581636.917,3910579.196,4320666.484,-0.995424759769546,0.037039880474949,0.0880772098340002
1 Jan 2025 00:54:07.000,272.047,5.079,4081.859603,-5316.397158,4630.705719,3490.137083,-5.01294,-2.408125,-4.443666,2581278.868,3910614.437,4320848.507,-0.995437948119438,0.0355790409741927,0.0885292227861443
1 Jan 2025 00:54:08.000,271.962,5.105,4079.315828,-5321.407921,4628.295702,3485.691987,-5.008585,-2.411915,-4.446528,2580920.84,3910649.648,4321030.506,-0.99544938302946,0.0341008615290126,0.0889812175082293
1 Jan 2025 00:54:09.000,271.878,5.131,4076.778556,-5326.414328,4625.881896,3481.244031,-5.004226,-2.415703,-4.449386,2580562.805,3910684.833,4321212.496,-0.995457848483009,0.0326400937673267,0.0894331939071798
1 Jan 2025 00:54:10.000,271.793,5.157,4074.247799,-5331.416373,4623.464303,3476.793218,-4.999863,-2.419489,-4.45224,2580204.734,3910719.993,4321394.492,-0.995464509464727,0.0311619939329182,0.0898851518899244
1 Jan 2025 00:54:11.000,271.708,5.182,4071.723573,-5336.414054,4621.042925,3472.339554,-4.995496,-2.423274,-4.455091,2579846.656,3910755.126,4321576.479,-0.995470346621719,0.0296839870509636,0.0903197094193364
1 Jan 2025 00:54:12.000,271.624,5.208,4069.20589,-5341.407366,4618.617763,3467.88304,-4.991125,-2.427056,-4.457938,2579488.599,3910790.228,4321758.443,-0.9954717239634,0.028223355462191,0.0907716310076647
1 Jan 2025 00:54:13.000,271.539,5.234,4066.694769,-5346.396304,4616.18882,3463.423681,-4.98675,-2.430837,-4.460782,2579130.507,3910825.307,4321940.413,-0.995471220193345,0.026745403881933,0.0912235339041741
1 Jan 2025 00:54:14.000,271.454,5.259,4064.190214,-5351.380865,4613.756098,3458.96148,-4.982371,-2.434615,-4.463621,2578772.436,3910860.356,4322122.359,-0.995469916613825,0.0252675513072573,0.091658038206147
1 Jan 2025 00:54:15.000,271.368,5.285,4061.692244,-5356.361045,4611.319598,3454.496442,-4.977987,-2.438391,-4.466458,2578414.33,3910895.38,4322304.311,-0.995465037656422,0.0237723443927085,0.0921099041676481
1 Jan 2025 00:54:16.000,271.283,5.31,4059.200872,-5361.33684,4608.879322,3450.028569,-4.9736,-2.442166,-4.46929,2578056.216,3910930.377,4322486.254,-0.995458933971652,0.0222946146459714,0.0925443727830622
1 Jan 2025 00:54:17.000,271.198,5.336,4056.716112,-5366.308245,4606.435274,3445.557865,-4.969208,-2.445938,-4.472119,2577698.124,3910965.344,4322668.174,-0.99544882463342,0.0208169174357916,0.092996201451537
1 Jan 2025 00:54:18.000,271.112,5.361,4054.237978,-5371.275256,4603.987453,3441.084334,-4.964813,-2.449709,-4.474944,2577340.025,3911000.285,4322850.085,-0.995438284748883,0.0193219533123158,0.0934306340361588
1 Jan 2025 00:54:19.000,271.026,5.386,4051.766487,-5376.23787,4601.535864,3436.60798,-4.960413,-2.453477,-4.477766,2576981.89,3911035.2,4323032.002,-0.995425310299445,0.0178270643362967,0.0938650488329066
1 Jan 2025 00:54:20.000,270.941,5.412,4049.301645,-5381.196082,4599.080506,3432.128807,-4.956009,-2.457244,-4.480584,2576623.747,3911070.089,4323213.91,-0.995407970521589,0.0163496008785688,0.094316821263243
1 Jan 2025 00:54:21.000,270.855,5.437,4046.843469,-5386.149888,4596.621383,3427.646817,-4.951601,-2.461008,-4.483398,2576265.598,3911104.951,4323395.809,-0.995390146034202,0.0148548769175955,0.0947511995162757
1 Jan 2025 00:54:22.000,270.769,5.462,4044.391973,-5391.099284,4594.158497,3423.162015,-4.947189,-2.464771,-4.486208,2575907.47,3911139.782,4323577.685,-0.995369887622577,0.0133602407576249,0.0951855597300174
