Time (UTC),Relative Time (s),Observer Longitude,Observer Latitude,Observer Altitude,Observer ECI X,Observer ECI Y,Observer ECI Z,Direction Vector X,Direction Vector Y,Direction Vector Z,Distance (km),Elevation (deg),Azimuth (deg),Satellite ECI X,Satellite ECI Y,Satellite ECI Z,Satellite Velocity X (km/s),Satellite Velocity Y (km/s),Satellite Velocity Z (km/s)
2024-04-19 04:16:00,960.0,109.494,34.445,0.557,4889.01455090521,1925.242653965756,3603.847395303668,0.8298669313854093,-0.3684665508069681,0.4189907840625858,39084.03546013577,24.770887855252443,113.94154593990652,13149.40698355489,40036.86734232522,990.0745816485976,-2.9200278904061823,0.96054256913509,-0.0979076768555277
2024-04-19 04:16:01,961.0,109.494,34.445,0.557,4888.874530380849,1925.598188045838,3603.847395303668,0.8298669245105194,-0.3684684399413927,0.4189891363396052,39084.044414335855,24.770783881108983,113.9416550668945,13146.486819031184,40037.82781178579,989.9766679290308,-2.9200978647983766,0.9603294872689394,-0.0979129458486163
2024-04-19 04:16:02,962.0,109.494,34.445,0.557,4888.73448400169,1925.9537119424,3603.847395303668,0.829866915877191,-0.368470330600582,0.4189874907435507,39084.05335595176,24.7706800412651,113.94176432666497,13143.56670202594,40038.788029526,989.8787528801048,-2.920167820839095,0.9601164088515116,-0.0979182141089614
2024-04-19 04:16:03,963.0,109.494,34.445,0.557,4888.594411768476,1926.3092256535567,3603.847395303668,0.8298669072282805,-0.3684722213669563,0.4189858450691019,39084.0622981013,24.770576196561247,113.94187359283325,13140.64651507281,40039.74803418639,989.780832563208,-2.9202377613434667,0.9599033253113892,-0.097923481848526
2024-04-19 04:16:04,964.0,109.494,34.445,0.557,4888.454313681945,1926.6647291774384,3603.847395303668,0.8298668985637866,-0.3684741122405051,0.4189841993162673,39084.07124078447,24.770472346997988,113.9419828653988,13137.726258187326,40040.70782576184,989.6829069788606,-2.920307686311117,0.959690236649707,-0.0979287490672822
2024-04-19 04:16:05,965.0,109.494,34.445,0.557,4888.314189742839,1927.0202225121557,3603.847395303668,0.8298668898837106,-0.3684760032212162,0.4189825534850531,39084.08018400119,24.77036849257571,113.94209214436086,13134.805931385024,40041.667404247215,989.5849761275834,-2.9203775957416718,0.9594771428675984,-0.0979340157652017
2024-04-19 04:16:06,966.0,109.494,34.445,0.557,4888.174039951897,1927.375705655836,3603.847395303668,0.829866881188052,-0.3684778943090792,0.4189809075754675,39084.089127751424,24.770264633294957,113.9422014297188,13131.885534681416,40042.62676963741,989.4870400098968,-2.920447489634758,0.9592640439661972,-0.0979392819422566
2024-04-19 04:16:07,967.0,109.494,34.445,0.557,4888.033864309862,1927.731178606596,3603.847395303668,0.8298668724768112,-0.3684797855040824,0.4189792615875173,39084.09807203513,24.770160769156156,113.94231072147193,13128.965068092042,40043.58592192731,989.389098626321,-2.9205173679900005,0.9590509399466376,-0.0979445475984186
2024-04-19 04:16:08,968.0,109.494,34.445,0.557,4887.893662817478,1928.086641362552,3603.847395303668,0.8298668637499879,-0.3684816768062147,0.4189776155212105,39084.10701685231,24.770056900159823,113.94242001961948,13126.044531632506,40044.544861111775,989.29115197738,-2.9205872308070244,0.958837830810058,-0.0979498127336596
2024-04-19 04:16:09,969.0,109.494,34.445,0.557,4887.753435475482,1928.442093921832,3603.847395303668,0.8298668567504236,-0.3684835667979311,0.418975967171205,39084.115975320885,24.769952887146104,113.94252919777928,13123.123807811116,40045.50362575418,989.1931961225528,-2.9206570808953334,0.9586247079831868,-0.0979550775597541
2024-04-19 04:16:10,970.0,109.494,34.445,0.557,4887.613182284616,1928.7975362825468,3603.847395303668,0.8298668479924343,-0.3684854583142913,0.4189743209482036,39084.12492120484,24.76984900843605,113.94263850871404,13120.203131654953,40046.46213870388,989.0952389442276,-2.9207269126341746,0.9584115886157584,-0.097960341653048
2024-04-19 04:16:11,971.0,109.494,34.445,0.557,4887.472903245624,1929.1529684428272,3603.847395303668,0.8298668392188623,-0.3684873499377477,0.4189726746468686,39084.133867622106,24.769745124869964,113.9427478260414,13117.282385675211,40047.420438532805,988.9972765020988,-2.920796728833676,0.9581984641347122,-0.0979656052253366
2024-04-19 04:16:12,972.0,109.494,34.445,0.557,4887.332598359246,1929.508390400788,3603.847395303668,0.8298668304297081,-0.3684892416682881,0.4189710282672061,39084.14281457266,24.76964123644824,113.94285714976051,13114.361569887424,40048.37852523585,988.8993087966868,-2.9208665294934644,0.9579853345411814,-0.0979708682765918
2024-04-19 04:16:13,973.0,109.494,34.445,0.557,4887.192267626228,1929.8638021545448,3603.847395303668,0.8298668216249724,-0.3684911335059008,0.418969381809223,39084.15176205647,24.76953734317131,113.94296647987072,13111.44068430712,40049.3363988079,988.8013358285124,-2.9209363146131646,0.9577721998363002,-0.0979761308067855
2024-04-19 04:16:14,974.0,109.494,34.445,0.557,4887.051911047304,1930.219203702228,3603.847395303668,0.8298668128046544,-0.3684930254505755,0.418967735272928,39084.16071007349,24.76943344503975,113.9430758163714,13108.519728949836,40050.29405924387,988.7033575980968,-2.9210060841924044,0.957559060021202,-0.0979813928158896
2024-04-19 04:16:15,975.0,109.494,34.445,0.557,4886.911528623226,1930.574595041948,3603.847395303668,0.8298668039687562,-0.368494917502299,0.4189660886583254,39084.16965862369,24.76932954205384,113.9431851592617,13105.598703831029,40051.25150653863,988.6053741059576,-2.921075838230812,0.957345915097017,-0.0979866543038763
