sample,x_km_pred,x_km_true,y_km_pred,y_km_true,z_km_pred,z_km_true,vx_km/s_pred,vx_km/s_true,vy_km/s_pred,vy_km/s_true,vz_km/s_pred,vz_km/s_true
40,-5664.1445,-5689.1826,4515.743,4434.195,3191.8315,3139.766,-4.748621,-4.665856,-2.659666,-2.694004,-4.6552224,-4.6531973
41,-5669.0576,-5693.8457,4513.3,4431.499,3187.29,3135.1116,-4.7442265,-4.661195,-2.6635063,-2.6976352,-4.657894,-4.655773
42,-5673.9634,-5698.505,4510.8525,4428.8,3182.7476,3130.4546,-4.739829,-4.656531,-2.6673424,-2.701263,-4.6605606,-4.6583433
43,-5678.866,-5703.159,4508.398,4426.0967,3178.2012,3125.795,-4.735424,-4.651862,-2.6711774,-2.7048879,-4.663224,-4.6609106
44,-5683.7646,-5707.8086,4505.9385,4423.39,3173.6516,3121.1328,-4.7310143,-4.64719,-2.6750095,-2.7085118,-4.6658835,-4.663474
45,-5688.6587,-5712.453,4503.4736,4420.6797,3169.0986,3116.468,-4.7265997,-4.642514,-2.6788383,-2.712133,-4.6685386,-4.6660337
46,-5693.547,-5717.0938,4501.004,4417.966,3164.5422,3111.8008,-4.722179,-4.637834,-2.6826668,-2.7157521,-4.6711893,-4.6685896
47,-5698.434,-5721.7295,4498.527,4415.248,3159.9834,3107.1309,-4.7177534,-4.63315,-2.6864939,-2.719369,-4.6738367,-4.6711407
48,-5703.3145,-5726.3604,4496.046,4412.527,3155.4226,3102.4585,-4.7133226,-4.628463,-2.690317,-2.7229838,-4.6764784,-4.673689
49,-5708.1934,-5730.9863,4493.5566,4409.8022,3150.857,3097.7834,-4.708885,-4.623771,-2.69414,-2.7265964,-4.679118,-4.6762333
